"ze";"cs1";"effectif_43plus";"effectif_55plus";"part_55plus_pct";"departs_55plus";"perte_seniors_pct";"sous_seuil"
"Brest";"Employes";24;8;33,3;7;29,3;FALSE
"Bourges";"Ouvriers";36;11;30,6;10,5;29,2;FALSE
"Grenoble";"Ouvriers";36;11;30,6;10,5;29,1;FALSE
"Limoges";"Employes";26;8;30,8;7,6;29,1;FALSE
"Brest";"Prof. intermediaires";43;15;34,9;12,5;29;FALSE
"Versailles";"Cadres";36;15;41,7;10,5;29;FALSE
"Paris";"Prof. intermediaires";44;14;31,8;12,8;29;FALSE
"Caen";"Prof. intermediaires";48;15;31,2;13,9;29;FALSE
"Pau";"Prof. intermediaires";25;8;32;7,2;28,8;FALSE
"Créteil";"Cadres";32;11;34,4;9;28,2;FALSE
"Lorient";"Prof. intermediaires";39;13;33,3;10,9;28,1;FALSE
"Évry";"Prof. intermediaires";35;11;31,4;9,8;28;FALSE
"Saint-Nazaire";"Employes";23;7;30,4;6,4;27,7;FALSE
"Saint-Nazaire";"Prof. intermediaires";31;9;29;8,5;27,5;FALSE
"Toulouse";"Ouvriers";56;16;28,6;15,4;27,4;FALSE
"Cherbourg-en-Cotentin";"Cadres";42;16;38,1;11,3;27;FALSE
"Lorient";"Cadres";32;12;37,5;8,6;26,8;FALSE
"Créteil";"Ouvriers";40;11;27,5;10,6;26,5;FALSE
"Nice";"Prof. intermediaires";32;11;34,4;8,4;26,4;FALSE
"Aix-en-Provence";"Employes";29;8;27,6;7,6;26,1;FALSE
"Nantes";"Prof. intermediaires";25;7;28;6,5;26;FALSE
"Évry";"Cadres";40;13;32,5;10,2;25,6;FALSE
"Belfort";"Cadres";32;13;40,6;8,1;25,5;FALSE
"Douai";"Prof. intermediaires";44;13;29,5;11,1;25,1;FALSE
"Le Havre";"Prof. intermediaires";29;8;27,6;7,3;25,1;FALSE
"Pau";"Cadres";35;11;31,4;8,7;24,7;FALSE
"Toulouse";"Cadres";40;12;30;9,8;24,5;FALSE
"Limoges";"Prof. intermediaires";35;10;28,6;8,5;24,2;FALSE
"Poitiers";"Prof. intermediaires";37;10;27;8,9;24,1;FALSE
"Rouen";"Prof. intermediaires";20;6;30;4,8;24;FALSE
"Le Havre";"Ouvriers";29;7;24,1;6,9;23,9;FALSE
"Toulon";"Employes";28;7;25;6,7;23,9;FALSE
"Grenoble";"Prof. intermediaires";41;11;26,8;9,8;23,8;FALSE
"Toulon";"Prof. intermediaires";45;12;26,7;10,7;23,7;FALSE
"Lyon";"Cadres";NA;NA;NA;NA;NA;TRUE
"Rennes";"Ouvriers";32;8;25;7,5;23,5;FALSE
"Le Mans";"Ouvriers";29;7;24,1;6,8;23,5;FALSE
"Pau";"Ouvriers";33;8;24,2;7,7;23,4;FALSE
"Dijon";"Cadres";33;11;33,3;7,7;23,4;FALSE
"Metz";"Prof. intermediaires";25;7;28;5,8;23;FALSE
"Bourges";"Cadres";29;9;31;6,7;23;FALSE
"Valence";"Cadres";29;9;31;6,6;22,8;FALSE
"Lille";"Ouvriers";51;12;23,5;11,3;22,2;FALSE
"Angoulême";"Prof. intermediaires";21;5;23,8;4,7;22,2;FALSE
"Bordeaux";"Prof. intermediaires";33;8;24,2;7,3;22;FALSE
"Istres";"Ouvriers";34;8;23,5;7,5;21,9;FALSE
"Le Mans";"Prof. intermediaires";28;7;25;6,1;21,9;FALSE
"Créteil";"Employes";31;7;22,6;6,7;21,6;FALSE
"Rennes";"Prof. intermediaires";44;10;22,7;9,4;21,4;FALSE
"Istres";"Employes";23;5;21,7;4,9;21,4;FALSE
"Strasbourg";"Ouvriers";22;5;22,7;4,7;21,3;FALSE
"Le Havre";"Employes";NA;NA;NA;NA;NA;TRUE
"Toulon";"Cadres";34;11;32,4;7,2;21,2;FALSE
"Metz";"Cadres";26;7;26,9;5,5;21,2;FALSE
"Brest";"Cadres";37;10;27;7,8;21,2;FALSE
"Marseille";"Cadres";33;10;30,3;7;21,2;FALSE
"Valence";"Ouvriers";33;7;21,2;6,9;20,9;FALSE
"Istres";"Prof. intermediaires";33;7;21,2;6,8;20,8;FALSE
"Valenciennes";"Cadres";28;7;25;5,8;20,7;FALSE
"Mulhouse";"Cadres";35;9;25,7;7,2;20,6;FALSE
"Paris";"Cadres";40;12;30;8,2;20,6;FALSE
"Clermont-Ferrand";"Employes";23;5;21,7;4,7;20,5;FALSE
"Douai";"Cadres";41;12;29,3;8,3;20,3;FALSE
"Strasbourg";"Prof. intermediaires";28;7;25;5,7;20,2;FALSE
"Marseille";"Prof. intermediaires";39;10;25,6;7,8;20,1;FALSE
"Clermont-Ferrand";"Cadres";29;8;27,6;5,8;20;FALSE
"Aix-en-Provence";"Cadres";44;11;25;8,7;19,7;FALSE
"Nancy";"Employes";26;6;23,1;5,1;19,5;FALSE
"Bordeaux";"Cadres";33;8;24,2;6,4;19,4;FALSE
"Angoulême";"Cadres";26;8;30,8;4,8;18,6;FALSE
"Saint-Nazaire";"Ouvriers";31;6;19,4;5,7;18,5;FALSE
"Bourges";"Prof. intermediaires";40;9;22,5;7,4;18,5;FALSE
"Grenoble";"Employes";21;4;19;3,8;18,2;FALSE
"Orléans";"Ouvriers";32;6;18,8;5,6;17,6;FALSE
"Nancy";"Cadres";35;10;28,6;6,2;17,6;FALSE
"Metz";"Employes";20;4;20;3,5;17,3;FALSE
"Clermont-Ferrand";"Prof. intermediaires";37;7;18,9;6,2;16,9;FALSE
"Le Mans";"Cadres";35;9;25,7;5,7;16,3;FALSE
"Le Mans";"Employes";NA;NA;NA;NA;NA;TRUE
"Grenoble";"Cadres";28;6;21,4;4,5;16;FALSE
"Nantes";"Ouvriers";36;6;16,7;5,6;15,6;FALSE
"Lyon";"Prof. intermediaires";31;6;19,4;4,8;15,4;FALSE
"Clermont-Ferrand";"Ouvriers";39;6;15,4;6;15,3;FALSE
"Marseille";"Employes";23;4;17,4;3,5;15,3;FALSE
"Saint-Nazaire";"Cadres";28;5;17,9;3,9;14;FALSE
"Rennes";"Cadres";34;7;20,6;4,7;13,8;FALSE
"Tours";"Cadres";37;8;21,6;5;13,4;FALSE
"Le Havre";"Cadres";44;7;15,9;5,7;13;FALSE
"Rouen";"Cadres";39;9;23,1;5;12,9;FALSE
"Valence";"Employes";22;3;13,6;2,7;12,3;FALSE
"Lyon";"Ouvriers";40;5;12,5;4,9;12,3;FALSE
"Caen";"Cadres";NA;NA;NA;NA;NA;TRUE
"Toulouse";"Employes";NA;NA;NA;NA;NA;TRUE
"Nantes";"Cadres";28;5;17,9;3,1;11,1;FALSE
"Orléans";"Employes";NA;NA;NA;NA;NA;TRUE
"Valence";"Prof. intermediaires";41;5;12,2;4,5;10,9;FALSE
"Metz";"Ouvriers";28;3;10,7;3;10,7;FALSE
"Strasbourg";"Cadres";31;4;12,9;3,2;10,4;FALSE
"Rouen";"Employes";NA;NA;NA;NA;NA;TRUE
"Créteil";"Prof. intermediaires";32;3;9,4;2,8;8,9;FALSE
"Strasbourg";"Employes";24;2;8,3;2;8,3;FALSE
"Lyon";"Employes";20;1;5;1;5;FALSE
"Orléans";"Prof. intermediaires";23;1;4,3;1;4,3;FALSE
"Istres";"Cadres";28;1;3,6;0,9;3,2;FALSE
"Orléans";"Cadres";22;0;0;0;0;FALSE
